file,screen,state,width,height,font,bytes
activeWorkout/populated-600x960-font1.0.png,activeWorkout,populated,600,960,1.0,69181
activeWorkout/populated-600x960-font1.6.png,activeWorkout,populated,600,960,1.6,66859
activeWorkout/populated-600x960-font2.0.png,activeWorkout,populated,600,960,2.0,71330
restTimer/empty-600x960-font1.0.png,restTimer,empty,600,960,1.0,34080
restTimer/empty-600x960-font1.6.png,restTimer,empty,600,960,1.6,29782
restTimer/empty-600x960-font2.0.png,restTimer,empty,600,960,2.0,33146
restTimer/running-600x960-font1.0.png,restTimer,running,600,960,1.0,37720
restTimer/running-600x960-font1.6.png,restTimer,running,600,960,1.6,34125
restTimer/running-600x960-font2.0.png,restTimer,running,600,960,2.0,39739
restTimer/empty-800x360-font1.0.png,restTimer,empty,800,360,1.0,17243
restTimer/empty-800x360-font1.6.png,restTimer,empty,800,360,1.6,21766
restTimer/empty-800x360-font2.0.png,restTimer,empty,800,360,2.0,20230
restTimer/running-800x360-font1.0.png,restTimer,running,800,360,1.0,16456
restTimer/running-800x360-font1.6.png,restTimer,running,800,360,1.6,16471
restTimer/running-800x360-font2.0.png,restTimer,running,800,360,2.0,14607
restTimer/empty-360x640-font1.0.png,restTimer,empty,360,640,1.0,28092
restTimer/empty-360x640-font1.6.png,restTimer,empty,360,640,1.6,24445
restTimer/empty-360x640-font2.0.png,restTimer,empty,360,640,2.0,27407
restTimer/running-360x640-font1.0.png,restTimer,running,360,640,1.0,32759
restTimer/running-360x640-font1.6.png,restTimer,running,360,640,1.6,29076
restTimer/running-360x640-font2.0.png,restTimer,running,360,640,2.0,31922
restTimer/empty-412x915-font1.0.png,restTimer,empty,412,915,1.0,31300
restTimer/empty-412x915-font1.6.png,restTimer,empty,412,915,1.6,26114
restTimer/empty-412x915-font2.0.png,restTimer,empty,412,915,2.0,29127
restTimer/running-412x915-font1.0.png,restTimer,running,412,915,1.0,36337
restTimer/running-412x915-font1.6.png,restTimer,running,412,915,1.6,32168
restTimer/running-412x915-font2.0.png,restTimer,running,412,915,2.0,35498
planDay/empty-600x960-font1.0.png,planDay,empty,600,960,1.0,18025
planDay/empty-600x960-font1.6.png,planDay,empty,600,960,1.6,24382
planDay/empty-600x960-font2.0.png,planDay,empty,600,960,2.0,28746
planDay/populated-600x960-font1.0.png,planDay,populated,600,960,1.0,19943
planDay/populated-600x960-font1.6.png,planDay,populated,600,960,1.6,28993
planDay/populated-600x960-font2.0.png,planDay,populated,600,960,2.0,33077
workoutSummary/empty-412x915-font1.0.png,workoutSummary,empty,412,915,1.0,15916
workoutSummary/empty-412x915-font1.6.png,workoutSummary,empty,412,915,1.6,24001
workoutSummary/empty-412x915-font2.0.png,workoutSummary,empty,412,915,2.0,27405
workoutSummary/populated-412x915-font1.0.png,workoutSummary,populated,412,915,1.0,29910
workoutSummary/populated-412x915-font1.6.png,workoutSummary,populated,412,915,1.6,43339
workoutSummary/populated-412x915-font2.0.png,workoutSummary,populated,412,915,2.0,49657
progress/empty-800x360-font1.0.png,progress,empty,800,360,1.0,31690
progress/empty-800x360-font1.6.png,progress,empty,800,360,1.6,38096
progress/empty-800x360-font2.0.png,progress,empty,800,360,2.0,39678
progress/populated-800x360-font1.0.png,progress,populated,800,360,1.0,31941
progress/populated-800x360-font1.6.png,progress,populated,800,360,1.6,38276
progress/populated-800x360-font2.0.png,progress,populated,800,360,2.0,39835
progress/empty-360x640-font1.0.png,progress,empty,360,640,1.0,49116
progress/empty-360x640-font1.6.png,progress,empty,360,640,1.6,52468
progress/empty-360x640-font2.0.png,progress,empty,360,640,2.0,49161
progress/populated-360x640-font1.0.png,progress,populated,360,640,1.0,50666
progress/populated-360x640-font1.6.png,progress,populated,360,640,1.6,52447
progress/populated-360x640-font2.0.png,progress,populated,360,640,2.0,49343
customWeek/empty-800x360-font1.0.png,customWeek,empty,800,360,1.0,18870
customWeek/empty-800x360-font1.6.png,customWeek,empty,800,360,1.6,25694
customWeek/empty-800x360-font2.0.png,customWeek,empty,800,360,2.0,30301
customWeek/populated-800x360-font1.0.png,customWeek,populated,800,360,1.0,18870
customWeek/populated-800x360-font1.6.png,customWeek,populated,800,360,1.6,25694
customWeek/populated-800x360-font2.0.png,customWeek,populated,800,360,2.0,30301
customWeek/empty-360x640-font1.0.png,customWeek,empty,360,640,1.0,25503
customWeek/empty-360x640-font1.6.png,customWeek,empty,360,640,1.6,42327
customWeek/empty-360x640-font2.0.png,customWeek,empty,360,640,2.0,46423
customWeek/populated-360x640-font1.0.png,customWeek,populated,360,640,1.0,25503
customWeek/populated-360x640-font1.6.png,customWeek,populated,360,640,1.6,42327
customWeek/populated-360x640-font2.0.png,customWeek,populated,360,640,2.0,46423
library/empty-600x960-font1.0.png,library,empty,600,960,1.0,23253
library/empty-600x960-font1.6.png,library,empty,600,960,1.6,29183
library/empty-600x960-font2.0.png,library,empty,600,960,2.0,32431
library/populated-600x960-font1.0.png,library,populated,600,960,1.0,21398
library/populated-600x960-font1.6.png,library,populated,600,960,1.6,29066
library/populated-600x960-font2.0.png,library,populated,600,960,2.0,31797
sessionDetail/empty-412x915-font1.0.png,sessionDetail,empty,412,915,1.0,15593
sessionDetail/empty-412x915-font1.6.png,sessionDetail,empty,412,915,1.6,19718
sessionDetail/empty-412x915-font2.0.png,sessionDetail,empty,412,915,2.0,23124
sessionDetail/populated-412x915-font1.0.png,sessionDetail,populated,412,915,1.0,35883
sessionDetail/populated-412x915-font1.6.png,sessionDetail,populated,412,915,1.6,49936
sessionDetail/populated-412x915-font2.0.png,sessionDetail,populated,412,915,2.0,56841
sessionDetail/error-412x915-font1.0.png,sessionDetail,error,412,915,1.0,18401
sessionDetail/error-412x915-font1.6.png,sessionDetail,error,412,915,1.6,26921
sessionDetail/error-412x915-font2.0.png,sessionDetail,error,412,915,2.0,32151
exerciseDetail/empty-600x960-font1.0.png,exerciseDetail,empty,600,960,1.0,17708
exerciseDetail/empty-600x960-font1.6.png,exerciseDetail,empty,600,960,1.6,24873
exerciseDetail/empty-600x960-font2.0.png,exerciseDetail,empty,600,960,2.0,28557
exerciseDetail/populated-600x960-font1.0.png,exerciseDetail,populated,600,960,1.0,52797
exerciseDetail/populated-600x960-font1.6.png,exerciseDetail,populated,600,960,1.6,67075
exerciseDetail/populated-600x960-font2.0.png,exerciseDetail,populated,600,960,2.0,73506
exerciseDetail/error-600x960-font1.0.png,exerciseDetail,error,600,960,1.0,52802
exerciseDetail/error-600x960-font1.6.png,exerciseDetail,error,600,960,1.6,65932
exerciseDetail/error-600x960-font2.0.png,exerciseDetail,error,600,960,2.0,71415
liveCardio/empty-412x915-font1.0.png,liveCardio,empty,412,915,1.0,13842
liveCardio/empty-412x915-font1.6.png,liveCardio,empty,412,915,1.6,18141
liveCardio/empty-412x915-font2.0.png,liveCardio,empty,412,915,2.0,19932
liveCardio/populated-412x915-font1.0.png,liveCardio,populated,412,915,1.0,29914
liveCardio/populated-412x915-font1.6.png,liveCardio,populated,412,915,1.6,46393
liveCardio/populated-412x915-font2.0.png,liveCardio,populated,412,915,2.0,53980
routineEditor/empty-800x360-font1.0.png,routineEditor,empty,800,360,1.0,14271
routineEditor/empty-800x360-font1.6.png,routineEditor,empty,800,360,1.6,21491
routineEditor/empty-800x360-font2.0.png,routineEditor,empty,800,360,2.0,26335
routineEditor/populated-800x360-font1.0.png,routineEditor,populated,800,360,1.0,23566
routineEditor/populated-800x360-font1.6.png,routineEditor,populated,800,360,1.6,28727
routineEditor/populated-800x360-font2.0.png,routineEditor,populated,800,360,2.0,25530
home/empty-800x360-font1.0.png,home,empty,800,360,1.0,23390
home/empty-800x360-font1.6.png,home,empty,800,360,1.6,30027
home/empty-800x360-font2.0.png,home,empty,800,360,2.0,28623
home/populated-800x360-font1.0.png,home,populated,800,360,1.0,21432
home/populated-800x360-font1.6.png,home,populated,800,360,1.6,27092
home/populated-800x360-font2.0.png,home,populated,800,360,2.0,29258
routineEditor/empty-360x640-font1.0.png,routineEditor,empty,360,640,1.0,24729
routineEditor/empty-360x640-font1.6.png,routineEditor,empty,360,640,1.6,28447
routineEditor/empty-360x640-font2.0.png,routineEditor,empty,360,640,2.0,31150
routineEditor/populated-360x640-font1.0.png,routineEditor,populated,360,640,1.0,31773
routineEditor/populated-360x640-font1.6.png,routineEditor,populated,360,640,1.6,47737
routineEditor/populated-360x640-font2.0.png,routineEditor,populated,360,640,2.0,53924
history/empty-800x360-font1.0.png,history,empty,800,360,1.0,20689
history/empty-800x360-font1.6.png,history,empty,800,360,1.6,28352
history/empty-800x360-font2.0.png,history,empty,800,360,2.0,29750
history/populated-800x360-font1.0.png,history,populated,800,360,1.0,20690
history/populated-800x360-font1.6.png,history,populated,800,360,1.6,28428
history/populated-800x360-font2.0.png,history,populated,800,360,2.0,29832
history/error-800x360-font1.0.png,history,error,800,360,1.0,6383
history/error-800x360-font1.6.png,history,error,800,360,1.6,7911
history/error-800x360-font2.0.png,history,error,800,360,2.0,9006
home/empty-360x640-font1.0.png,home,empty,360,640,1.0,22939
home/empty-360x640-font1.6.png,home,empty,360,640,1.6,34815
home/empty-360x640-font2.0.png,home,empty,360,640,2.0,38345
home/populated-360x640-font1.0.png,home,populated,360,640,1.0,29742
home/populated-360x640-font1.6.png,home,populated,360,640,1.6,39614
home/populated-360x640-font2.0.png,home,populated,360,640,2.0,39500
history/empty-360x640-font1.0.png,history,empty,360,640,1.0,31877
history/empty-360x640-font1.6.png,history,empty,360,640,1.6,41682
history/empty-360x640-font2.0.png,history,empty,360,640,2.0,38911
history/populated-360x640-font1.0.png,history,populated,360,640,1.0,32036
history/populated-360x640-font1.6.png,history,populated,360,640,1.6,41880
history/populated-360x640-font2.0.png,history,populated,360,640,2.0,38920
history/error-360x640-font1.0.png,history,error,360,640,1.0,6785
history/error-360x640-font1.6.png,history,error,360,640,1.6,8316
history/error-360x640-font2.0.png,history,error,360,640,2.0,9462
settings/home-800x360-font1.0.png,settings,home,800,360,1.0,25431
settings/home-800x360-font1.6.png,settings,home,800,360,1.6,29347
settings/home-800x360-font2.0.png,settings,home,800,360,2.0,30974
settings/backup-800x360-font1.0.png,settings,backup,800,360,1.0,21501
settings/backup-800x360-font1.6.png,settings,backup,800,360,1.6,28985
settings/backup-800x360-font2.0.png,settings,backup,800,360,2.0,33013
settings/account-800x360-font1.0.png,settings,account,800,360,1.0,22382
settings/account-800x360-font1.6.png,settings,account,800,360,1.6,33415
settings/account-800x360-font2.0.png,settings,account,800,360,2.0,38496
settings/reminders-800x360-font1.0.png,settings,reminders,800,360,1.0,24449
settings/reminders-800x360-font1.6.png,settings,reminders,800,360,1.6,26516
settings/reminders-800x360-font2.0.png,settings,reminders,800,360,2.0,29648
settings/home-360x640-font1.0.png,settings,home,360,640,1.0,43353
settings/home-360x640-font1.6.png,settings,home,360,640,1.6,47335
settings/home-360x640-font2.0.png,settings,home,360,640,2.0,50621
settings/backup-360x640-font1.0.png,settings,backup,360,640,1.0,37479
settings/backup-360x640-font1.6.png,settings,backup,360,640,1.6,58012
settings/backup-360x640-font2.0.png,settings,backup,360,640,2.0,55384
settings/account-360x640-font1.0.png,settings,account,360,640,1.0,27312
settings/account-360x640-font1.6.png,settings,account,360,640,1.6,39382
settings/account-360x640-font2.0.png,settings,account,360,640,2.0,35215
settings/reminders-360x640-font1.0.png,settings,reminders,360,640,1.0,37379
settings/reminders-360x640-font1.6.png,settings,reminders,360,640,1.6,41406
settings/reminders-360x640-font2.0.png,settings,reminders,360,640,2.0,41341
intro/empty-600x960-font1.0.png,intro,empty,600,960,1.0,237815
intro/empty-600x960-font1.6.png,intro,empty,600,960,1.6,244603
intro/empty-600x960-font2.0.png,intro,empty,600,960,2.0,248458
activityDetail/empty-800x360-font1.0.png,activityDetail,empty,800,360,1.0,12228
activityDetail/empty-800x360-font1.6.png,activityDetail,empty,800,360,1.6,15473
activityDetail/empty-800x360-font2.0.png,activityDetail,empty,800,360,2.0,17261
activityDetail/populated-800x360-font1.0.png,activityDetail,populated,800,360,1.0,16097
activityDetail/populated-800x360-font1.6.png,activityDetail,populated,800,360,1.6,16794
activityDetail/populated-800x360-font2.0.png,activityDetail,populated,800,360,2.0,18754
activityDetail/error-800x360-font1.0.png,activityDetail,error,800,360,1.0,15935
activityDetail/error-800x360-font1.6.png,activityDetail,error,800,360,1.6,20790
activityDetail/error-800x360-font2.0.png,activityDetail,error,800,360,2.0,24075
onboarding/empty-600x960-font1.0.png,onboarding,empty,600,960,1.0,30053
onboarding/empty-600x960-font1.6.png,onboarding,empty,600,960,1.6,45813
onboarding/empty-600x960-font2.0.png,onboarding,empty,600,960,2.0,53423
activityDetail/empty-360x640-font1.0.png,activityDetail,empty,360,640,1.0,12464
activityDetail/empty-360x640-font1.6.png,activityDetail,empty,360,640,1.6,16560
activityDetail/empty-360x640-font2.0.png,activityDetail,empty,360,640,2.0,18826
activityDetail/populated-360x640-font1.0.png,activityDetail,populated,360,640,1.0,18347
activityDetail/populated-360x640-font1.6.png,activityDetail,populated,360,640,1.6,27736
activityDetail/populated-360x640-font2.0.png,activityDetail,populated,360,640,2.0,31596
activityDetail/error-360x640-font1.0.png,activityDetail,error,360,640,1.0,16283
activityDetail/error-360x640-font1.6.png,activityDetail,error,360,640,1.6,25087
activityDetail/error-360x640-font2.0.png,activityDetail,error,360,640,2.0,31356
progress/empty-412x915-font1.0.png,progress,empty,412,915,1.0,77137
progress/empty-412x915-font1.6.png,progress,empty,412,915,1.6,86971
progress/empty-412x915-font2.0.png,progress,empty,412,915,2.0,76860
progress/populated-412x915-font1.0.png,progress,populated,412,915,1.0,78839
progress/populated-412x915-font1.6.png,progress,populated,412,915,1.6,85614
progress/populated-412x915-font2.0.png,progress,populated,412,915,2.0,82134
customWeek/empty-412x915-font1.0.png,customWeek,empty,412,915,1.0,27586
customWeek/empty-412x915-font1.6.png,customWeek,empty,412,915,1.6,43525
customWeek/empty-412x915-font2.0.png,customWeek,empty,412,915,2.0,52173
customWeek/populated-412x915-font1.0.png,customWeek,populated,412,915,1.0,27586
customWeek/populated-412x915-font1.6.png,customWeek,populated,412,915,1.6,43525
customWeek/populated-412x915-font2.0.png,customWeek,populated,412,915,2.0,52173
activityComposer/empty-600x960-font1.0.png,activityComposer,empty,600,960,1.0,31711
activityComposer/empty-600x960-font1.6.png,activityComposer,empty,600,960,1.6,45605
activityComposer/empty-600x960-font2.0.png,activityComposer,empty,600,960,2.0,51387
activityComposer/cardio-600x960-font1.0.png,activityComposer,cardio,600,960,1.0,35956
activityComposer/cardio-600x960-font1.6.png,activityComposer,cardio,600,960,1.6,54276
activityComposer/cardio-600x960-font2.0.png,activityComposer,cardio,600,960,2.0,60952
routineEditor/empty-412x915-font1.0.png,routineEditor,empty,412,915,1.0,28345
routineEditor/empty-412x915-font1.6.png,routineEditor,empty,412,915,1.6,46706
routineEditor/empty-412x915-font2.0.png,routineEditor,empty,412,915,2.0,53958
routineEditor/populated-412x915-font1.0.png,routineEditor,populated,412,915,1.0,33574
routineEditor/populated-412x915-font1.6.png,routineEditor,populated,412,915,1.6,50656
routineEditor/populated-412x915-font2.0.png,routineEditor,populated,412,915,2.0,61136
home/empty-412x915-font1.0.png,home,empty,412,915,1.0,24372
home/empty-412x915-font1.6.png,home,empty,412,915,1.6,35908
home/empty-412x915-font2.0.png,home,empty,412,915,2.0,42492
home/populated-412x915-font1.0.png,home,populated,412,915,1.0,31629
home/populated-412x915-font1.6.png,home,populated,412,915,1.6,46411
home/populated-412x915-font2.0.png,home,populated,412,915,2.0,54276
history/empty-412x915-font1.0.png,history,empty,412,915,1.0,38013
history/empty-412x915-font1.6.png,history,empty,412,915,1.6,56720
history/empty-412x915-font2.0.png,history,empty,412,915,2.0,62744
history/populated-412x915-font1.0.png,history,populated,412,915,1.0,50281
history/populated-412x915-font1.6.png,history,populated,412,915,1.6,63606
history/populated-412x915-font2.0.png,history,populated,412,915,2.0,67299
history/error-412x915-font1.0.png,history,error,412,915,1.0,7929
history/error-412x915-font1.6.png,history,error,412,915,1.6,9474
history/error-412x915-font2.0.png,history,error,412,915,2.0,10530
settings/home-412x915-font1.0.png,settings,home,412,915,1.0,56960
settings/home-412x915-font1.6.png,settings,home,412,915,1.6,70633
settings/home-412x915-font2.0.png,settings,home,412,915,2.0,75989
settings/backup-412x915-font1.0.png,settings,backup,412,915,1.0,39250
settings/backup-412x915-font1.6.png,settings,backup,412,915,1.6,74450
settings/backup-412x915-font2.0.png,settings,backup,412,915,2.0,94669
settings/account-412x915-font1.0.png,settings,account,412,915,1.0,29427
settings/account-412x915-font1.6.png,settings,account,412,915,1.6,41067
settings/account-412x915-font2.0.png,settings,account,412,915,2.0,42488
settings/reminders-412x915-font1.0.png,settings,reminders,412,915,1.0,49579
settings/reminders-412x915-font1.6.png,settings,reminders,412,915,1.6,58612
settings/reminders-412x915-font2.0.png,settings,reminders,412,915,2.0,61091
plan/empty-800x360-font1.0.png,plan,empty,800,360,1.0,26146
plan/empty-800x360-font1.6.png,plan,empty,800,360,1.6,28669
plan/empty-800x360-font2.0.png,plan,empty,800,360,2.0,27613
plan/populated-800x360-font1.0.png,plan,populated,800,360,1.0,21343
plan/populated-800x360-font1.6.png,plan,populated,800,360,1.6,25205
plan/populated-800x360-font2.0.png,plan,populated,800,360,2.0,26897
activityDetail/empty-412x915-font1.0.png,activityDetail,empty,412,915,1.0,13942
activityDetail/empty-412x915-font1.6.png,activityDetail,empty,412,915,1.6,17881
activityDetail/empty-412x915-font2.0.png,activityDetail,empty,412,915,2.0,19983
activityDetail/populated-412x915-font1.0.png,activityDetail,populated,412,915,1.0,19717
activityDetail/populated-412x915-font1.6.png,activityDetail,populated,412,915,1.6,29461
activityDetail/populated-412x915-font2.0.png,activityDetail,populated,412,915,2.0,33539
activityDetail/error-412x915-font1.0.png,activityDetail,error,412,915,1.0,17894
activityDetail/error-412x915-font1.6.png,activityDetail,error,412,915,1.6,25806
activityDetail/error-412x915-font2.0.png,activityDetail,error,412,915,2.0,30729
plan/empty-360x640-font1.0.png,plan,empty,360,640,1.0,36615
plan/empty-360x640-font1.6.png,plan,empty,360,640,1.6,50470
plan/empty-360x640-font2.0.png,plan,empty,360,640,2.0,47361
plan/populated-360x640-font1.0.png,plan,populated,360,640,1.0,29197
plan/populated-360x640-font1.6.png,plan,populated,360,640,1.6,42867
plan/populated-360x640-font2.0.png,plan,populated,360,640,2.0,42110
planDay/empty-800x360-font1.0.png,planDay,empty,800,360,1.0,14984
planDay/empty-800x360-font1.6.png,planDay,empty,800,360,1.6,21818
planDay/empty-800x360-font2.0.png,planDay,empty,800,360,2.0,24820
planDay/populated-800x360-font1.0.png,planDay,populated,800,360,1.0,16380
planDay/populated-800x360-font1.6.png,planDay,populated,800,360,1.6,25042
planDay/populated-800x360-font2.0.png,planDay,populated,800,360,2.0,26653
workoutSummary/empty-600x960-font1.0.png,workoutSummary,empty,600,960,1.0,17240
workoutSummary/empty-600x960-font1.6.png,workoutSummary,empty,600,960,1.6,22606
workoutSummary/empty-600x960-font2.0.png,workoutSummary,empty,600,960,2.0,25666
workoutSummary/populated-600x960-font1.0.png,workoutSummary,populated,600,960,1.0,31461
workoutSummary/populated-600x960-font1.6.png,workoutSummary,populated,600,960,1.6,45137
workoutSummary/populated-600x960-font2.0.png,workoutSummary,populated,600,960,2.0,51881
planDay/empty-360x640-font1.0.png,planDay,empty,360,640,1.0,15382
planDay/empty-360x640-font1.6.png,planDay,empty,360,640,1.6,23736
planDay/empty-360x640-font2.0.png,planDay,empty,360,640,2.0,27939
planDay/populated-360x640-font1.0.png,planDay,populated,360,640,1.0,17357
planDay/populated-360x640-font1.6.png,planDay,populated,360,640,1.6,25897
planDay/populated-360x640-font2.0.png,planDay,populated,360,640,2.0,29603
library/empty-800x360-font1.0.png,library,empty,800,360,1.0,11993
library/empty-800x360-font1.6.png,library,empty,800,360,1.6,14377
library/empty-800x360-font2.0.png,library,empty,800,360,2.0,15592
library/populated-800x360-font1.0.png,library,populated,800,360,1.0,19187
library/populated-800x360-font1.6.png,library,populated,800,360,1.6,26461
library/populated-800x360-font2.0.png,library,populated,800,360,2.0,29614
library/empty-360x640-font1.0.png,library,empty,360,640,1.0,20540
library/empty-360x640-font1.6.png,library,empty,360,640,1.6,27035
library/empty-360x640-font2.0.png,library,empty,360,640,2.0,30379
library/populated-360x640-font1.0.png,library,populated,360,640,1.0,18559
library/populated-360x640-font1.6.png,library,populated,360,640,1.6,24324
library/populated-360x640-font2.0.png,library,populated,360,640,2.0,26738
sessionDetail/empty-600x960-font1.0.png,sessionDetail,empty,600,960,1.0,16597
sessionDetail/empty-600x960-font1.6.png,sessionDetail,empty,600,960,1.6,20001
sessionDetail/empty-600x960-font2.0.png,sessionDetail,empty,600,960,2.0,22263
sessionDetail/populated-600x960-font1.0.png,sessionDetail,populated,600,960,1.0,37670
sessionDetail/populated-600x960-font1.6.png,sessionDetail,populated,600,960,1.6,51818
sessionDetail/populated-600x960-font2.0.png,sessionDetail,populated,600,960,2.0,59027
sessionDetail/error-600x960-font1.0.png,sessionDetail,error,600,960,1.0,19023
sessionDetail/error-600x960-font1.6.png,sessionDetail,error,600,960,1.6,26716
sessionDetail/error-600x960-font2.0.png,sessionDetail,error,600,960,2.0,31258
exerciseDetail/empty-800x360-font1.0.png,exerciseDetail,empty,800,360,1.0,15079
exerciseDetail/empty-800x360-font1.6.png,exerciseDetail,empty,800,360,1.6,20053
exerciseDetail/empty-800x360-font2.0.png,exerciseDetail,empty,800,360,2.0,23645
exerciseDetail/populated-800x360-font1.0.png,exerciseDetail,populated,800,360,1.0,29473
exerciseDetail/populated-800x360-font1.6.png,exerciseDetail,populated,800,360,1.6,25993
exerciseDetail/populated-800x360-font2.0.png,exerciseDetail,populated,800,360,2.0,28262
exerciseDetail/error-800x360-font1.0.png,exerciseDetail,error,800,360,1.0,26415
exerciseDetail/error-800x360-font1.6.png,exerciseDetail,error,800,360,1.6,34393
exerciseDetail/error-800x360-font2.0.png,exerciseDetail,error,800,360,2.0,39483
liveCardio/empty-600x960-font1.0.png,liveCardio,empty,600,960,1.0,14856
liveCardio/empty-600x960-font1.6.png,liveCardio,empty,600,960,1.6,18141
liveCardio/empty-600x960-font2.0.png,liveCardio,empty,600,960,2.0,20823
liveCardio/populated-600x960-font1.0.png,liveCardio,populated,600,960,1.0,30063
liveCardio/populated-600x960-font1.6.png,liveCardio,populated,600,960,1.6,46605
liveCardio/populated-600x960-font2.0.png,liveCardio,populated,600,960,2.0,53335
exerciseDetail/empty-360x640-font1.0.png,exerciseDetail,empty,360,640,1.0,15492
exerciseDetail/empty-360x640-font1.6.png,exerciseDetail,empty,360,640,1.6,23744
exerciseDetail/empty-360x640-font2.0.png,exerciseDetail,empty,360,640,2.0,27397
exerciseDetail/populated-360x640-font1.0.png,exerciseDetail,populated,360,640,1.0,34616
exerciseDetail/populated-360x640-font1.6.png,exerciseDetail,populated,360,640,1.6,50068
exerciseDetail/populated-360x640-font2.0.png,exerciseDetail,populated,360,640,2.0,51981
exerciseDetail/error-360x640-font1.0.png,exerciseDetail,error,360,640,1.0,30335
exerciseDetail/error-360x640-font1.6.png,exerciseDetail,error,360,640,1.6,45378
exerciseDetail/error-360x640-font2.0.png,exerciseDetail,error,360,640,2.0,46290
plan/empty-412x915-font1.0.png,plan,empty,412,915,1.0,39203
plan/empty-412x915-font1.6.png,plan,empty,412,915,1.6,67076
plan/empty-412x915-font2.0.png,plan,empty,412,915,2.0,81396
